date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:37:11	13/13	---M--	200	added ('OK')	text/plain	etag:%2253e820c8-d%22	http://www.shlongline.com/robots.txt		(from )
10:37:13	172665/172665	---MCZ	200	added ('OK')	text/html	etag:%222aa2cf97fc9be630909c7906567c931a%22	http://www.shlongline.com/	C:/Users/Administrator/Desktop/www123/123/www.shlongline.com/index.html	(from )
10:37:13	17987/17987	---M-Z	200	added ('OK')	text/css	date:Wed,%2012%20Apr%202017%2008:24:00%20GMT	http://static.websiteonline.cn/website/template/default/css/default.css?v=14919854	C:/Users/Administrator/Desktop/www123/123/static.websiteonline.cn/website/template/default/css/defaultc4be.css	(from http://www.shlongline.com/)
10:37:13	64/64	---M--	200	added ('OK')	text/css	date:Fri,%2015%20Aug%202014%2006:46:11%20GMT	http://static.websiteonline.cn/website/plugin/media/css/media.css?v=14077216	C:/Users/Administrator/Desktop/www123/123/static.websiteonline.cn/website/plugin/media/css/media188c.css	(from http://www.shlongline.com/)
10:37:13	1158/1158	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20May%202016%2003:29:00%20GMT	http://static.websiteonline.cn/website/plugin/title/css/title.css?v=14636284	C:/Users/Administrator/Desktop/www123/123/static.websiteonline.cn/website/plugin/title/css/title13eb.css	(from http://www.shlongline.com/)
10:37:14	4141/4141	---M-Z	200	added ('OK')	text/css	date:Fri,%2015%20Aug%202014%2006:46:09%20GMT	http://static.websiteonline.cn/website/plugin/breadcrumb/css/breadcrumb.css?v=14077216	C:/Users/Administrator/Desktop/www123/123/static.websiteonline.cn/website/plugin/breadcrumb/css/breadcrumb188c.css	(from http://www.shlongline.com/)
10:37:14	230/230	---M--	200	added ('OK')	text/css	date:Fri,%2015%20Aug%202014%2006:46:09%20GMT	http://static.websiteonline.cn/website/plugin/customerservice/css/customerservice.css?v=14077216	C:/Users/Administrator/Desktop/www123/123/static.websiteonline.cn/website/plugin/customerservice/css/customerservice188c.css	(from http://www.shlongline.com/)
10:37:14	799/799	---M--	200	added ('OK')	text/css	date:Fri,%2015%20Aug%202014%2006:46:10%20GMT	http://static.websiteonline.cn/website/plugin/chtml/css/chtml.css?v=14077216	C:/Users/Administrator/Desktop/www123/123/static.websiteonline.cn/website/plugin/chtml/css/chtml188c.css	(from http://www.shlongline.com/)
10:37:17	42255/42255	---MC-	200	added ('OK')	text/css	etag:d7690d6c45dc74f59c93363e0c9f4597	http://www.shlongline.com/d7690d6c45dc74f59c93363e0c9f4597.cssx	C:/Users/Administrator/Desktop/www123/123/www.shlongline.com/d7690d6c45dc74f59c93363e0c9f4597.css	(from http://www.shlongline.com/)
10:37:17	453736/453736	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2021%20Jul%202017%2001:03:00%20GMT	http://static.websiteonline.cn/website/script/??jquery-1.6.4.js,jquery.custom.js,jquery.lazyload.js,jquery.rotateutility.js,lab.js,wopop_all.js,jquery.cookie.js,jquery.simplemodal.js,fullcollumn.js,objectFitPolyfill.min.js,ierotate.js,effects/velocity.js,effects/velocity.ui.js,effects/effects.js,fullpagescroll.js,common.js,heightAdapt.js?v=15005988	C:/Users/Administrator/Desktop/www123/123/static.websiteonline.cn/website/script/index9949.html	(from http://www.shlongline.com/)
